name,city,kind,item_id,place_id,primary_type,business_status,is_lodging,lodging_types,all_types
Argyll - 1 Cornhill,City of London,Coworking Space,6809cffb12a4f2a72acc82e3,ChIJKaeQFFMDdkgRbECFmkRD-qI,Real estate agency,OPERATIONAL,,,"real_estate_agency, point_of_interest, service, establishment"
Argyll - 1 King William Street,City of London,Coworking Space,6809d29f812c1fb97363c9ba,ChIJeTVTgVQDdkgROOBGx7cPH68,Real estate agency,OPERATIONAL,,,"business_center, coworking_space, real_estate_agency, service, point_of_interest, establishment"
Argyll - 20 North Audley Street,Mayfair,Coworking Space,6809d00484cf6fe0ca12cae0,ChIJ-397lzIFdkgRymqgkIoPzo4,Real estate agency,OPERATIONAL,,,"business_center, coworking_space, real_estate_agency, service, point_of_interest, establishment"
Argyll - 288 Bishopsgate,Liverpool Street,Coworking Space,6809d0061f2325d5045f697d,ChIJuUon1rMcdkgR1tbetCWkK6U,Real estate agency,OPERATIONAL,,,"coworking_space, business_center, real_estate_agency, point_of_interest, service, establishment"
Argyll - 85 Gresham Street,City of London,Coworking Space,6809cffaea423d76c26e82bc,ChIJ8dhs0qocdkgR6O6ZOkL7SeU,Real estate agency,OPERATIONAL,,,"business_center, coworking_space, real_estate_agency, service, point_of_interest, establishment"
Argyll - Central Court,Holborn,Coworking Space,6809d000744673d0e5f5a536,ChIJw5xHeksbdkgR8z40zKnvmmU,Real estate agency,OPERATIONAL,,,"business_center, coworking_space, real_estate_agency, service, point_of_interest, establishment"
Argyll - Michelin House,Chelsea,Coworking Space,6809cffccca1f7b77befdec3,ChIJtzfcbWoFdkgRAZCv9_98iSI,Real estate agency,OPERATIONAL,,,"real_estate_agency, service, point_of_interest, establishment"
Argyll - Nova North,Victoria,Coworking Space,6809d009ef2baf52183a38ab,ChIJ0-V7rf8FdkgR6GINYfO92BE,Real estate agency,OPERATIONAL,,,"business_center, coworking_space, real_estate_agency, service, point_of_interest, establishment"
Argyll - Octagon Point,City of London,Coworking Space,6809cffac6dc5faef1523d44,ChIJ-dgZLKsEdkgRYcz9lHlqTi0,Real estate agency,OPERATIONAL,,,"real_estate_agency, service, point_of_interest, establishment"
Aroon Cafe,Sukhumvit,Cafe,674b379f207c69628c4cecf4,ChIJp7wxhyqf4jARHQ5N_NseXrA,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment"
